random_id,mean_rt_control,mean_rt_phon,mean_rt_sem,mean_rt_sem_phon,sd_rt_control,sd_rt_phon,sd_rt_sem,sd_rt_sem_phon,sum_correct_control,sum_correct_phon,sum_correct_sem,sum_correct_sem_phon,n_control,n_phon,n_sem,n_sem_phon
541687,1942.9033333292875,1860.712749998056,1996.9052499960865,1953.2762499990579,391.21016098399366,227.74802258175802,262.0048851896974,409.87536041068273,12,12,12,12,12,12,12,12
550861,1646.7695834469553,1707.436250051857,1745.8928334193727,1611.7258333432062,214.05847616889304,320.4164853015654,232.52227474926022,150.35384469514568,12,11,12,11,12,12,12,12
598367,2406.1170833333604,2116.8747500000445,2270.0372727273048,1982.5400833333551,571.309967086087,415.174201181145,329.74559249582643,280.2921147509122,12,12,11,12,12,12,11,12
605991,1923.1875833288625,2182.3719999783657,1837.557583315079,2338.9265833177246,713.6638868200265,690.1631930311934,296.6078393302142,729.2838291693026,12,10,12,11,12,11,12,12
616008,2405.2399092917713,2698.281583601953,2838.6067501937264,2676.1950834048234,728.8645210232886,921.0736601949984,913.7121026919604,726.9443281250961,11,12,12,12,11,12,12,12
633438,1914.8830000000391,2056.140666666715,1954.7920000000559,2085.83083333337,497.5983714135877,324.31787996664417,327.27707993047176,463.64045564460906,12,11,12,12,12,12,12,12
645245,1703.846833310301,2057.9058333212874,1788.6775833268584,2112.946749985966,284.3042991421937,416.16907211689596,258.2661415139065,619.3256054910343,12,9,11,6,12,12,12,12
645589,2208.833333333339,2729.8333333333308,2045.4166666666704,2178.4166666666715,250.96933290864524,849.975810707507,243.09312032945982,275.3950743381152,12,11,12,11,12,12,12,12
649419,1739.4346666847912,1961.2381818310705,1903.1099166728443,1994.2954166637471,455.495953677472,562.4664488532361,453.3661502020298,709.4979218426358,12,9,12,11,12,11,12,12
653394,2084.5486363665423,2827.7887500177117,2292.305250017096,2774.882636353339,272.34865109826615,888.5529285183095,531.3331867041617,1073.5456016749058,11,9,12,9,11,12,12,11
664373,2188.1220000272747,2781.9467273064815,2149.0698182260862,2584.492000027215,537.0169634246304,812.0613550059747,347.8614726001843,775.6527748663369,12,9,10,9,12,11,11,11
669424,1667.7744166661644,1903.8565833329,1779.2045833328884,1949.554583333035,405.6478228658946,522.1745054844113,341.0241474794517,443.18512775814924,12,9,12,10,12,12,12,12
