random_id,condition,xpos_max,xpos_min,ypos_max,ypos_min,MAD,MAD_time,MD_above,MD_above_time,MD_below,MD_below_time,AD,AUC,xpos_flips,ypos_flips,xpos_reversals,ypos_reversals,RT,initiation_time,idle_time
222503,sem,115.91666666666667,-121.33333333333333,96.08333333333333,-82.33333333333333,-10.12065882950974,1398.6012500026711,75.46544057850112,1080.9125000014185,-90.8136147283223,1362.1145833361686,-13.46659083822287,-2094.4583333333335,2.75,2,0.75,0.9166666666666666,2748.627916668333,35.63041666716648,1307.6320833341779
222503,sem_phon,90.66666666666667,-175.83333333333334,87,-102.33333333333333,43.2491028904542,2108.5262499969926,107.19989817504614,1416.6066666633342,-64.14210442461507,2125.3291666653327,24.155984085778492,1632.8333333333333,1.6666666666666667,1.5,0.75,0.8333333333333334,3287.709583330663,101.25874999966861,680.7833333318364
231542,control,182.33333333333334,-56.25,82.25,-85.58333333333333,3.724066820679994,177.79541666574733,13.096057751101783,208.24833333241622,-9.897505054377016,177.62250000052396,2.2112650358999866,-88.375,0.3333333333333333,0.4166666666666667,0,0,820.1733333323804,0,0
231542,phon,81.08333333333333,-152.16666666666666,79.83333333333333,-92.75,-15.502797715049027,270.4833333314703,10.057180357719067,305.11291666586084,-26.248127197940107,180.126666665136,-5.143206990071829,-1373.25,0.8333333333333334,0.75,0.08333333333333333,0.16666666666666666,671.0633333340089,0,0
231542,sem,138.41666666666666,-129.16666666666666,95.16666666666667,-65.16666666666667,11.769633771852343,215.10791666649615,25.272610113742925,186.231666666699,-23.072103307515697,261.4162500019423,-0.9579134002183831,772.125,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,672.8729166666366,0,0
231542,sem_phon,134.66666666666666,-142.08333333333334,94.75,-78.58333333333333,15.092709905955607,371.0587499966168,34.3325385803137,128.2474999959571,-23.946137079832685,337.3458333335578,5.363346979283218,179.08333333333334,0.5833333333333334,0.6666666666666666,0.08333333333333333,0,760.9916666649151,0,0
243040,control,129.66666666666666,-104.66666666666667,82.41666666666667,-61.666666666666664,25.278464035144854,743.2529166884657,92.21372128636025,686.9391666647256,-66.89401947327987,864.5908333516272,8.116412328352414,820.8333333333334,2.0833333333333335,1.5,0.9166666666666666,0.6666666666666666,2731.575000002718,0,26.86166666291562
243040,phon,103,-138.27272727272728,68,-87.0909090909091,109.12850282646683,970.981818189699,144.24667042186186,1181.5154545472417,-64.28116158920994,1131.6854545570227,31.34337037098291,1653.9545454545455,2.727272727272727,2.3636363636363638,1.3636363636363635,0.9090909090909091,3110.623181839741,0,44.43863635363232
243040,sem,113.0909090909091,-118.9090909090909,60.81818181818182,-74.63636363636364,72.83627627601405,1094.7650000029666,137.05412822431663,1199.8945454515765,-64.13021853452173,472.3045454487887,30.8953693143945,1005.5454545454545,2.1818181818181817,2.1818181818181817,0.7272727272727273,0.6363636363636364,2892.3354545417533,0,13.61681817264021
243040,sem_phon,159.66666666666666,-128.33333333333334,95.33333333333333,-89.91666666666667,-18.52714552286735,1477.4162500011778,98.52348420874726,1669.428333329878,-131.00529987116138,1378.7854166681566,-15.455149686297798,-4298.083333333333,2.5833333333333335,2.6666666666666665,1.4166666666666667,1,3538.845000031922,0,16.86500000266824
